"Name","Genre","Language","MRP","Quality","Broadcaster"
"ABP Majha","News","Marathi","0.5","SD","5c1b6eef0cca52169ac36c4f"
"The History Channel","Infotainment","Hindi","4","SD","5c1b68214ae1d63ad19368fd"
"FY1 TV18","Infotainment","English","1","SD","5c1b68214ae1d63ad19368fd"
"FY1 TV18 (HD)","Infotainment","English","1","HD","5c1b68214ae1d63ad19368fd"
"Histroy TV 18 HD","Infotainment","Hindi","9","HD","5c1b68214ae1d63ad19368fd"
"Asianet","GEC","Malayalam","19","SD","5c1b67634ae1d63ad19368fb"
"Asianet Plus","GEC","Malayalam","5","SD","5c1b67634ae1d63ad19368fb"
"Asianet Movies","Movies","Malayalam","15","SD","5c1b67634ae1d63ad19368fb"
"Suvarna Plus","Movies","Kannada","5","SD","5c1b67634ae1d63ad19368fb"
"Star Suvarna  HD","GEC","Kannada","19","HD","5c1b67634ae1d63ad19368fb"
"Asianet HD","GEC","Malayalam","19","HD","5c1b67634ae1d63ad19368fb"
"Star Suvarna","GEC","Kannada","19","SD","5c1b67634ae1d63ad19368fb"
"AATH","GEC","Bangla","4","SD","5c1b67be4ae1d63ad19368fc"
"SONY Marathi","GEC","Marathi","4","SD","5c1b67be4ae1d63ad19368fc"
"BBC World News","News","English","1","SD","5c1b66dc4ae1d63ad19368fa"
"Zoom","GEC","Hindi","1","SD","5c1b6f420cca52169ac36c50"
"Romedy Now","Movies","English","8","SD","5c1b6f420cca52169ac36c50"
"MN +","Movies","English","10","HD","5c1b6f420cca52169ac36c50"
"Mirror Now","News","English/Hindi","3","SD","5c1b6f420cca52169ac36c50"
"ET NOW","News","English/Hindi","3","SD","5c1b6f420cca52169ac36c50"
"Times Now","News","English/Hindi","5","SD","5c1b6f420cca52169ac36c50"
"Romedy Now HD","Movies","English","10","HD","5c1b6f420cca52169ac36c50"
"Movies Now HD","Movies","English","15","HD","5c1b6f420cca52169ac36c50"
"MNX HD","Movies","English","10","HD","5c1b6f420cca52169ac36c50"
"MNX","Movies","English","8","SD","5c1b6f420cca52169ac36c50"
"Times Now HD","News","English","7","HD","5c1b6f420cca52169ac36c50"
"BTVi","News","English","3","SD","5c1b664f4ae1d63ad19368f9"
"Travel XP HD","Lifestyle","English","9","HD","5c1b65b74ae1d63ad19368f8"
"Travel XP Tamil","Lifestyle","Tamil","1.5","SD","5c1b65b74ae1d63ad19368f8"
"JAN TV PLUS","News","Hindi","50","SD","5c1b65064ae1d63ad19368f7"
"Animal Planet","Infotainment","English/Hindi","2","SD","5c1b5435a52fc63ad1038d2f"
"Discovery Channel","Infotainment","English/Hindi","4","SD","5c1b5435a52fc63ad1038d2f"
"Discovery Channel %u2013 Tamil","Infotainment","Tamil","4","SD","5c1b5435a52fc63ad1038d2f"
"Discovery Kids Channel","Kids","English","3","SD","5c1b5435a52fc63ad1038d2f"
"Discovery Science","Infotainment","English/Hindi","1","SD","5c1b5435a52fc63ad1038d2f"
"Discovery Turbo","Infotainment","English/Hindi","1","SD","5c1b5435a52fc63ad1038d2f"
"Discovery Jeet","GEC","Hindi","1","SD","5c1b5435a52fc63ad1038d2f"
"Discovery HD World","Infotainment","English","6","HD","5c1b5435a52fc63ad1038d2f"
"Animal Planet HD World","Infotainment","English/Hindi","3","HD","5c1b5435a52fc63ad1038d2f"
"TLC HD world","Infotainment","English/Hindi","3","HD","5c1b5435a52fc63ad1038d2f"
"Discovery Jeet HD","GEC","Hindi","2","HD","5c1b5435a52fc63ad1038d2f"
"TLC","Infotainment","English/Hindi","2","SD","5c1b5435a52fc63ad1038d2f"
"Dsport","Sports","English","4","SD","5c1b5435a52fc63ad1038d2f"
"Disney Junior","Kids","English","4","SD","5c1b5435a52fc63ad1038d2c"
"UTV Movies","Movies","Hindi","2","SD","5c1b5435a52fc63ad1038d2c"
"Marvel HQ (Disney XD)","Kids","English/Hindi","4","SD","5c1b5435a52fc63ad1038d2c"
"Disney International HD","GEC","English","12","HD","5c1b5435a52fc63ad1038d2c"
"Hungama TV","Kids","English/Hindi","6","SD","5c1b5435a52fc63ad1038d2c"
"The Disney Channel","Kids","English/Hindi","8","SD","5c1b5435a52fc63ad1038d2c"
"UTV HD","Movies","Hindi","8","HD","5c1b5435a52fc63ad1038d2c"
"ETV","GEC","Telugu","17","SD","5c1b5435a52fc63ad1038d2e"
"ETV Andhra Pradesh","News","Telugu","1","SD","5c1b5435a52fc63ad1038d2e"
"ETV - Telangana","News","Telugu","1","SD","5c1b5435a52fc63ad1038d2e"
"ETV Cinema","Movies","Telugu","6","SD","5c1b5435a52fc63ad1038d2e"
"ETV Life","GEC","Telugu","1","SD","5c1b5435a52fc63ad1038d2e"
"ETV Plus","GEC","Telugu","7","SD","5c1b5435a52fc63ad1038d2e"
"ETV Abhiruchi","GEC","Telugu","2","SD","5c1b5435a52fc63ad1038d2e"
"ETV HD","GEC","Telugu","19","HD","5c1b5435a52fc63ad1038d2e"
"ETV Plus HD","GEC","Telugu","10","HD","5c1b5435a52fc63ad1038d2e"
"ETV Cinema HD","Movies","Telugu","10","HD","5c1b5435a52fc63ad1038d2e"
"ETV Abhiruchi HD","GEC","Telugu","4","HD","5c1b5435a52fc63ad1038d2e"
"ETV Life HD","GEC","Telugu","3","HD","5c1b5435a52fc63ad1038d2e"
"EPIC TV (HD Distribution)","Infotainment","English/Hindi","2","HD","5c1b6fd00cca52169ac36c51"
"UTV Bindass","GEC","Hindi","1","SD","5c1b68944ae1d63ad19368fe"
"UTV Action","Movies","Hindi","2","SD","5c1b68944ae1d63ad19368fe"
"Topper TV","Miscellaneous","English","59.32","SD","5c1b702c0cca52169ac36c52"
"News 18 Lokmat","News","Hindi","0.5","SD","5c1b70840cca52169ac36c53"
"Living Foodz HD","Infotainment","Hindi","10","HD","5c1b71110cca52169ac36c54"
"Living Travelz","Infotainment","Hindi","0.1","SD","5c1b71110cca52169ac36c54"
"Living Rootz","Infotainment","Hindi","0.1","SD","5c1b71110cca52169ac36c54"
"Z Living","Infotainment","Hindi","0.1","SD","5c1b71110cca52169ac36c54"
"J Movies","Movies","Tamil","3.75","SD","5c1b5435a52fc63ad1038d27"
"Jaya Max","Music","Tamil","3.75","SD","5c1b5435a52fc63ad1038d27"
"Jaya Plus","News","Tamil","1","SD","5c1b5435a52fc63ad1038d27"
"Jaya TV HD","GEC","Tamil","19","HD","5c1b5435a52fc63ad1038d27"
"SONY BBC EARTH","Infotainment","English/Hindi","4","SD","5c1b71700cca52169ac36c55"
"SONY BBC EARTH HD","Infotainment","English/Hindi","10","HD","5c1b71700cca52169ac36c55"
"Travel XP","Lifestyle","English","3","SD","5c1b71ed0cca52169ac36c56"
"Good Times","Lifestyle","English","1.5","SD","5c1b72290cca52169ac36c57"
"NDTV 24*7","News","English","3","SD","5c1b5435a52fc63ad1038d25"
"NDTV India","News","Hindi","1","SD","5c1b5435a52fc63ad1038d25"
"NDTV Profit","News","English","1","SD","5c1b5435a52fc63ad1038d25"
"Fox Life","Lifestyle","English/Hindi","1","SD","5c1b72a40cca52169ac36c58"
"National Geographic Channel (NGC)","Infotainment","English/Hindi","2","SD","5c1b72a40cca52169ac36c58"
"Fox Life HD","Lifestyle","English/Hindi","1","HD","5c1b72a40cca52169ac36c58"
"Nat Geo  Wild","Infotainment","English/Hindi","1","SD","5c1b72a40cca52169ac36c58"
"National Geographic HD","Infotainment","English/Hindi","10","HD","5c1b72a40cca52169ac36c58"
"Nat Geo Music HD","Music","English/Hindi","1","HD","5c1b72a40cca52169ac36c58"
"Nat Geo Wild HD","Infotainment","English/Hindi","5","HD","5c1b72a40cca52169ac36c58"
"Nat Geo People HD","Infotainment","English/Hindi","1","HD","5c1b72a40cca52169ac36c58"
"Baby TV HD","Kids","English/Hindi","1","HD","5c1b72a40cca52169ac36c58"
"NHK World Premium (HD Distribution)","Infotainment","Japanese","1800","HD","5c1b72f80cca52169ac36c59"
"Prarthana","Devotional","Odia","2","SD","5c1b738f0cca52169ac36c5a"
"Tarang","GEC","Odia","10","SD","5c1b738f0cca52169ac36c5a"
"Tarang Music","Music","Odia","2","SD","5c1b738f0cca52169ac36c5a"
"Alankar","Movies","Odia","4","SD","5c1b738f0cca52169ac36c5a"
"News 18 Bihar Jharkhand","News","Hindi","0.5","SD","5c1b73f00cca52169ac36c5b"
"News 18 Madhya Pradesh / Chattisgarh","News","Hindi","0.5","SD","5c1b73f00cca52169ac36c5b"
"News 18 Rajasthan","News","Hindi","0.5","SD","5c1b73f00cca52169ac36c5b"
"News 18 Uttar Pradesh/ Uttaranchal","News","Hindi","0.5","SD","5c1b73f00cca52169ac36c5b"
"News 18 Urdu","News","Urdu","0.5","SD","5c1b73f00cca52169ac36c5b"
"News 18 Kannada","News","Kannada","0.5","SD","5c1b73f00cca52169ac36c5b"
"News 18 Bangla","News","Bangla","0.5","SD","5c1b73f00cca52169ac36c5b"
"News 18 Punjab / Haryana / Himanchal Pradesh","News","Punjabi","0.5","SD","5c1b73f00cca52169ac36c5b"
"News 18 Gujarati","News","Gujarati","0.5","SD","5c1b73f00cca52169ac36c5b"
"News 18 Odia","News","Odia","0.5","SD","5c1b73f00cca52169ac36c5b"
"Raj Musix Kannada","Music","Kannada","0.25","SD","5c1b5435a52fc63ad1038d2d"
"Raj Digital Plus","Movies","Tamil","1.5","SD","5c1b5435a52fc63ad1038d2d"
"Raj Musix","Music","Tamil","1","SD","5c1b5435a52fc63ad1038d2d"
"Raj News","News","Tamil","0.25","SD","5c1b5435a52fc63ad1038d2d"
"Raj TV","GEC","Tamil","3","SD","5c1b5435a52fc63ad1038d2d"
"Vissa TV","GEC","Telugu","0.5","SD","5c1b5435a52fc63ad1038d2d"
"Sarthak TV","GEC","Odia","19","SD","5c1b745a0cca52169ac36c5c"
"Mega 24","GEC","Tamil","1","SD","5c1b5435a52fc63ad1038d29"
"Mega Musiq","Music","Tamil","2","SD","5c1b5435a52fc63ad1038d29"
"Mega TV","GEC","Tamil","5","SD","5c1b5435a52fc63ad1038d29"
"Sony YAY!","Kids","English","2","SD","5c1b5435a52fc63ad1038d20"
"AXN","GEC","English","5","SD","5c1b5435a52fc63ad1038d20"
"SET MAX","Movies","Hindi","15","SD","5c1b5435a52fc63ad1038d20"
"MIX","Music","Hindi","1","SD","5c1b5435a52fc63ad1038d20"
"SAB","GEC","Hindi","19","SD","5c1b5435a52fc63ad1038d20"
"SONY ENTERTAINMENT CHANNEL (SET)","GEC","Hindi","19","SD","5c1b5435a52fc63ad1038d20"
"PIX","Movies","English","10","SD","5c1b5435a52fc63ad1038d20"
"SIX","Sports","English/Hindi","15","SD","5c1b5435a52fc63ad1038d20"
"MAX 2","Movies","Hindi","1","SD","5c1b5435a52fc63ad1038d20"
"PAL","GEC","Hindi","1","SD","5c1b5435a52fc63ad1038d20"
"SET HD","GEC","Hindi","19","HD","5c1b5435a52fc63ad1038d20"
"SIX  HD","Sports","English/Hindi","19","HD","5c1b5435a52fc63ad1038d20"
"PIX HD","Movies","English","15","HD","5c1b5435a52fc63ad1038d20"
"MAX HD","Movies","Hindi","17","HD","5c1b5435a52fc63ad1038d20"
"SONY ESPN HD","Sports","English/Hindi","7","HD","5c1b5435a52fc63ad1038d20"
"Ten 2 HD","Sports","English/Hindi","17","HD","5c1b5435a52fc63ad1038d20"
"Ten 3 HD","Sports","English/Hindi","17","HD","5c1b5435a52fc63ad1038d20"
"SONY ESPN","Sports","English/Hindi","5","SD","5c1b5435a52fc63ad1038d20"
"AXN HD","GEC","English","7","HD","5c1b5435a52fc63ad1038d20"
"Ten 2","Sports","English/Hindi","15","SD","5c1b5435a52fc63ad1038d20"
"Ten 1","Sports","English","19","SD","5c1b5435a52fc63ad1038d20"
"Ten 3","Sports","English/Hindi","17","SD","5c1b5435a52fc63ad1038d20"
"Ten 1 HD","Sports","English","19","HD","5c1b5435a52fc63ad1038d20"
"SONY Wah","Movies","Hindi","1","SD","5c1b5435a52fc63ad1038d20"
"SAB HD","GEC","Hindi","19","HD","5c1b5435a52fc63ad1038d20"
"Star Sports 3","Sports","English/Hindi","4","SD","5c1b5435a52fc63ad1038d1e"
"Star Sports 1 Tamil","Sports","Tamil","17","SD","5c1b5435a52fc63ad1038d1e"
"Star Sports Select 2","Sports","English/Hindi","7","SD","5c1b5435a52fc63ad1038d1e"
"Star Bharat","GEC","Hindi","10","SD","5c1b5435a52fc63ad1038d1e"
"Movies OK","Movies","Hindi","1","SD","5c1b5435a52fc63ad1038d1e"
"Star Sports 1 Hindi","Sports","Hindi","19","SD","5c1b5435a52fc63ad1038d1e"
"Star Gold","Movies","Hindi","8","SD","5c1b5435a52fc63ad1038d1e"
"Star Jalsha","GEC","Bangla","19","SD","5c1b5435a52fc63ad1038d1e"
"Star Movies","Movies","English","12","SD","5c1b5435a52fc63ad1038d1e"
"Star Gold Select","Movies","Hindi","7","SD","5c1b5435a52fc63ad1038d1e"
"Star Plus","GEC","Hindi","19","SD","5c1b5435a52fc63ad1038d1e"
"Star Pravah","GEC","Marathi","9","SD","5c1b5435a52fc63ad1038d1e"
"Star Sports 1","Sports","English/Hindi","19","SD","5c1b5435a52fc63ad1038d1e"
"Star Sports 2","Sports","English/Hindi","6","SD","5c1b5435a52fc63ad1038d1e"
"Star World","GEC","English","8","SD","5c1b5435a52fc63ad1038d1e"
"Jalsha Movies","Movies","Bangla","6","SD","5c1b5435a52fc63ad1038d1e"
"Star Sports HD 2","Sports","English/Hindi","19","HD","5c1b5435a52fc63ad1038d1e"
"Star Sports  HD 1","Sports","English/Hindi","19","HD","5c1b5435a52fc63ad1038d1e"
"Star Bharat HD","GEC","Hindi","19","HD","5c1b5435a52fc63ad1038d1e"
"Star Gold HD","Movies","Hindi","10","HD","5c1b5435a52fc63ad1038d1e"
